title,artist,top genre,year released,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,top year,artist type
Uptown Funk (feat. Bruno Mars),Mark Ronson,dance pop,2015,2020‑06‑19,115,61,86,-7,3,93,270,1,8,86,2015,Solo
"Flex (Ooh, Ooh, Ooh)",Rich Homie Quan,atl hip hop,2015,2020‑06‑19,82,61,73,-8,19,89,177,4,5,70,2015,Solo
Trap Queen,Fetty Wap,new jersey rap,2015,2020‑06‑19,148,87,75,-4,35,82,222,2,13,78,2015,Solo
What Do You Mean?,Justin Bieber,canadian pop,2015,2020‑06‑19,125,57,85,-8,8,79,206,59,10,81,2015,Solo
The Less I Know The Better,Tame Impala,australian psych,2015,2020‑06‑19,117,74,64,-4,17,79,216,1,3,88,2015,Band/Group
Spirits,The Strumbellas,canadian indie,2016,2021‑08‑09,81,66,56,-6,11,79,204,16,3,75,2015,Band/Group
Light It Up - Remix,Major Lazer,dance pop,2015,2020‑06‑19,108,88,75,-4,23,75,166,4,7,71,2015,Trio
On My Mind,Ellie Goulding,dance pop,2015,2020‑06‑22,155,71,70,-7,9,74,213,26,5,69,2015,Solo
My House,Flo Rida,dance pop,2015,2020‑06‑19,94,70,69,-5,13,74,192,2,5,81,2015,Solo
Somebody,Natalie La Rose,chicago rap,2014,2020‑06‑19,105,52,83,-9,7,74,190,0,4,69,2015,Solo
That's How You Know (feat. Kid Ink & Bebe Rexha),Nico & Vinz,pop rap,2015,2020‑06‑22,104,44,77,-6,12,74,186,44,4,62,2015,Duo
Time of Our Lives,Pitbull,dance pop,2014,2020‑06‑19,124,80,72,-6,69,72,229,9,6,85,2015,Solo
Post to Be (feat. Chris Brown & Jhene Aiko),Omarion,dance pop,2014,2020‑06‑19,97,68,73,-6,21,70,227,7,4,76,2015,Solo
GDFR (feat. Sage the Gemini & Lookas),Flo Rida,dance pop,2015,2020‑06‑19,146,83,66,-4,7,69,190,0,7,75,2015,Solo
Ayo,Chris Brown,dance pop,2015,2020‑06‑19,98,56,82,-5,9,68,225,4,4,76,2015,Solo
Jumpman,Drake,canadian hip hop,2015,2020‑06‑19,142,55,85,-7,33,66,206,6,19,76,2015,Solo
The Nights,Avicii,dance pop,2014,2020‑06‑19,126,84,53,-5,25,65,177,2,4,89,2015,Solo
Easy Love,Sigala,dance pop,2018,2020‑06‑19,124,94,68,-4,12,65,230,18,6,70,2015,Solo
Stressed Out,Twenty One Pilots,modern rock,2015,2020‑06‑19,170,64,73,-6,6,65,202,5,14,88,2015,Duo
Sugar (feat. Francesco Yates),Robin Schulz,dance pop,2015,2020‑06‑19,123,82,64,-5,16,64,219,2,6,81,2015,Solo
Omen - Radio Edit,Disclosure,edm,2015,2020‑06‑19,106,79,67,-5,36,62,197,12,14,68,2015,Duo
Mountain at My Gates,Foals,indie rock,2015,2021‑08‑09,104,93,50,-5,25,62,244,0,5,69,2015,Band/Group
Shut Up and Dance,WALK THE MOON,dance pop,2014,2020‑06‑19,128,87,58,-4,26,62,199,1,6,86,2015,Band/Group
Waiting For Love,Avicii,dance pop,2015,2020‑06‑19,128,74,58,-4,20,61,231,31,5,84,2015,Solo
"Honey, I'm Good.",Andy Grammer,dance pop,2014,2020‑06‑19,122,78,75,-7,35,60,199,3,5,78,2015,Solo
679 (feat. Remy Boyz),Fetty Wap,new jersey rap,2015,2020‑06‑19,190,72,62,-6,63,60,197,0,32,79,2015,Solo
oui,Jeremih,chicago rap,2015,2020‑06‑19,79,72,42,-4,11,60,238,21,10,82,2015,Solo
Lot to Learn,Luke Christopher,indie pop rap,2015,2020‑06‑19,82,85,41,-4,7,60,248,9,20,66,2015,Solo
Drag Me Down,One Direction,boy band,2015,2020‑06‑19,138,70,73,-6,7,60,192,11,4,84,2015,Band/Group
Thinking out Loud,Ed Sheeran,pop,2014,2020‑06‑19,79,45,78,-6,18,59,282,47,3,86,2015,Solo
Classic Man (feat. Roman GianArthur),Jidenna,ghanaian hip hop,2015,2020‑08‑11,94,59,79,-6,29,59,226,19,3,63,2015,Solo
Hurt Me,Låpsley,electropop,2016,2020‑06‑19,138,73,66,-5,16,59,231,69,13,55,2015,Solo
YOUTH,Troye Sivan,australian pop,2015,2020‑06‑19,92,74,63,-4,8,59,185,6,4,70,2015,Solo
Blank Space,Taylor Swift,pop,2014,2020‑06‑19,96,68,75,-5,13,58,232,9,6,79,2015,Solo
Can't Feel My Face,The Weeknd,canadian contemporary r&b,2015,2020‑06‑19,108,77,71,-6,11,58,214,11,4,83,2015,Solo
  7/11,Beyoncé,dance pop,2014,2020‑06‑19,136,71,75,-5,13,56,214,1,13,74,2015,Solo
Centuries,Fall Out Boy,emo,2015,2020‑06‑19,176,86,39,-3,10,56,228,0,7,84,2015,Band/Group
Hotline Bling,Drake,canadian hip hop,2016,2020‑06‑19,135,63,89,-8,5,55,267,0,6,82,2015,Solo
